get_help_by_email,how_to_apply_or_enroll_online,program_name,get_help_in_person,heads_up,page_type,apply_online_call_to_action
,"<ul>     <li>New Section 8/HCV applications are not being accepted at this time. The public will be notified when applications are being accepted again.     </li>     <li>If you previously submitted a Section 8 application when the waiting list was open, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Porta<u>l</u></a> to confirm the receipt of your NYCHA application.     </li> </ul>",Section 8 / Housing Choice Voucher Program,"<p>     <strong>Visit a NYCHA walk-in center</strong> </p> <p>     Bronx: 478 East Fordham Rd, 2nd Flr, Bronx, NY 10458 </p> <p>     Brooklyn: 787 Atlantic Ave, 2nd Flr, Brooklyn, NY 11238 </p>","<ul>     <li>As of May 14, 2007 applications for Section 8/HCV programs are not being accepted; the public will be notified when applications reopen and how to apply     </li>     <li>If you previously submitted a Section 8 application when the waiting list was open, log on to the <a href=""https://on.nyc.gov/nycha-ss"" target=""_blank"">Self-Service Portal</a> to confirm the receipt of your NYCHA application     </li>     <li>Affordable housing options are also available through <a href=""http://www1.nyc.gov/site/hpd/renters/find-housing.page"" target=""_blank"">NYC Housing Connect</a> and <a href=""http://www.nychdc.com/pages/Now-Renting.html"" target=""_blank"">NYC Housing Development Corporation</a>     </li>     <li>Never pay money to apply for Section 8 or public housing     </li>     <li>NYCHA, NYC Housing & Preservation Development, and NYS Home & Community Renewal all operate Section 8 programs in NYC     </li> </ul>",Program,Confirm receipt of your application
,,Jobs Plus,,"<ul>     <li>Jobs Plus is available at 27 NYCHA developments across 10 sites.     </li>     <li>Participants can also enroll in the <a href=""http://opportunitynycha.org/about-financial-empowerment/rent-incentives/"" target=""_blank"">Earned Income Disallowance (EID) program</a> to prevent rent increases once they find a job or get a raise.     </li> </ul>",Program,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Cornerstone"" from the ""All Programs"" dropdown     </li> </ol>",Cornerstone Programs,,<ul>     <li>Programs are free and available to young people and adults     </li>     <li>Enrollment for summer programs is every April     </li>     <li>Enrollment for school-year programs for elementary-age youth is between August and September     </li> </ul>,Program,Search for a program
,"<p>     You can use Discover DYCD to find programs in your area. To get started:<br> </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank""><u>Discover DYCD</u></a> website.     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""Literacy Group"" from the ""All Programs"" dropdown and ""Young Adult Literacy Program- Pre HSE Instruction"" in the All Sub-programs"" dropdown     </li> </ol>",Young Adult Literacy Program,,<ul>     <li>Students with at least a 70 percent average attendance rate can participate in paid internships     </li>     <li>You do not have to be a US citizen to participate     </li>     <li>Available to English Language Learners (ELL)     </li> </ul>,Program,Search Discover DYCD
"<p>     <strong>Email STAR</strong> </p> <p>     Email the <a href=""http://www1.nyc.gov/site/finance/about/contact-by-email/contact-exemptions-inquiries.page"" target=""_blank"">NYC Department of Finance</a> if you have question about STAR. </p>",<p>     You can register for the STAR credit online in just a few minutes. Your application will be reviewed automatically to see if you are eligible for Basic or Enhanced STAR. </p>,School Tax Relief Program,"<p>     <strong>Visit a center</strong><br> </p> <p>     Find a <a href=""http://www1.nyc.gov/site/finance/about/contact-us.page"" target=""_blank"">center</a> to get help in person. </p>","<ul>     <li>Basic STAR is for all homeowners and worth about $300 credit, Enhanced STAR is for people 65 and older and is worth about $600     </li>     <li>If you\u2019re eligible for the STAR credit, you\u2019ll receive a check for the amount of your STAR savings<br>     </li>     <li>Senior citizens getting STAR may also be eligible for the Senior Citizens Homeowners\u2019 Exemption (SCHE)<br>     </li>     <li>You do <strong>not</strong> need to register for STAR if you are a longtime homeowner with an existing STAR exemption<br>     </li> </ul>",Benefit,Register online
,,Access-A-Ride,,"<ul>     <li>The price is the same as full fare on public transportation     </li>     <li>AAR may take up to 21 days to process your application after your in-person assessment     </li>     <li>A subscription service is available if you travel to the same places at the same time of day at least once each week     </li>     <li>Some customers require the assistance of a personal care attendant (PCA) who <a href=""http://web.mta.info/nyct/paratran/guide.htm#attendan"" target=""_blank"">performs personal duties</a> that drivers are not allowed to do during travel. Personal care attendants ride for free     </li>     <li>Some AAR customers may request an AAR MetroCard that can be used for four free public transportation rides a day on public buses and trains     </li> </ul>",Program,
,,Child Health Plus and Children's Medicaid,,,Benefit,
,,Veterans Affairs Supported Housing,"<p>     <strong>Visit an office</strong> </p> <p>     Visit <a href=""https://access.nyc.gov/location/the-va-medical-center/"" target=""_blank"">VA Medical Center</a> in the Bronx (Mondays, Tuesdays and Fridays, 6:45 a.m. - 3:15 p.m.) or<br>     <a href=""https://access.nyc.gov/location/the-harbor-va-site/"" target=""_blank"">VA NY Harbor Site</a> in Manhattan (Mondays, 9:00 a.m. - 4:30 p.m. and Thursdays, 11:00 a.m. - 4:30 p.m.) for assistance. </p>","<ul>     <li>Call <a href=""tel:877-424-3838"">877-424-3838</a> to be connected with your local homeless program and apply     </li>     <li>Case management is an important part of the program, and you will be required to participate     </li>     <li>You must re-certify each year to keep your housing voucher     </li>     <li>You must contribute 30% of your monthly income towards rent, the voucher will cover the rest     </li> </ul>",Program,
,,Office of Child Support Services,"<p>     <strong>Visit the walk-in center</strong> </p> <p>     151 West Broadway, 4th Fl.<br>     New York, NY 10013<br>     Open Monday - Friday, 8:00 a.m. - 7:00 p.m.<br>     <em>Photo ID required</em> </p>","<ul>     <li>You don\u2019t have to be a citizen to get this service, and you won't be asked about your immigration status     </li>     <li>This program doesn\u2019t help with custody or visitation. It can guide you to resources for these services     </li>     <li>You should get a child support order even if you think the other parent can\u2019t afford to pay right now. They can get help finding work and may qualify for financial protections     </li>     <li>A child can get child support until age 21, even if the other parent isn\u2019t involved in the child\u2019s life     </li>     <li>Parents whose cash assistance was lowered because they did not participate correctly with child support can have it raised when they begin to comply. These parents should bring the necessary documentation to their <a href=""https://access.nyc.gov/locations/?programs=15014"" target=""_blank"">child support office</a>     </li>     <li>Child support has proven to benefit kids in many ways, especially when it comes to doing well in school     </li> </ul>",Service,
,,Reproductive Health Care,"<p>     <strong>Visit a health care center</strong> </p> <p>     Find a <a href=""http://www.nychealthandhospitals.org/health_care/"" target=""_blank""><u>health care location</u></a> near you to get help in person. </p>","<ul>     <li>Care is provided to all women, regardless of your ability to pay     </li>     <li>NYC Health + Hospitals can help you find insurance if you need it     </li>     <li>Information about your immigration status is kept private     </li>     <li>Translation and interpretative services are available in 190 languages     </li>     <li>Youth twelve and older can get private sexual and reproductive services at <a href=""http://nycyouthhealth.org/"" target=""_blank""><u>YouthHealth Centers</u></a>     </li> </ul>",Service,
,"<p>     You can use Discover DYCD to find programs in your area. To get started: </p> <ol>     <li>Go to the <a href=""http://www.dycdportal.nyc/discoverdycd/home"" target=""_blank"">Discover DYCD</a> website     </li>     <li>Click ""Show Advanced Search"" in the ""Basic Search"" box     </li>     <li>Select ""COMPASS Programs"" in the ""All Programs Box"" the a SONYC program from the ""All Sub-programs"" menu     </li> </ol>",School's Out NYC,<p>     <strong>Visit your child's school</strong> </p> <p>     Speak with an afterschool program staff at your child's school for more information. </p>,"<ul>     <li>Programs are offered to young people for free     </li>     <li>Programs are offered three hours each day, five days per week     </li> </ul>",Program,Search online
,"<p>     To join ASAP, follow these easy steps: </p> <ul>     <li>         <a href=""http://www1.cuny.edu/sites/asap/how-to-apply/"" target=""_blank""><u>Apply to a CUNY college</u></a> that has ASAP.     </li>     <li>Complete the <a href=""http://www.fafsa.gov/"" target=""_blank""><u>Free Application for Federal Student Aid (FAFSA</u></a>) and the <a href=""http://www.hesc.ny.gov/"" target=""_blank""><u>New York State Tuition Assistance Program (TAP) application</u></a>.     </li>     <li>Accept your offer of admission.     </li>     <li>Complete all admissions requirements for your college, including the <a href=""http://www2.cuny.edu/academics/testing/""><u>CUNY Assessment Tests</u></a> if necessary.     </li>     <li>         <a href=""http://www1.cuny.edu/sites/asap/contact/""><u>Check your college's ASAP website</u></a> for information on additional requirements and next steps.     </li> </ul>",Accelerated Study in Associate Programs,"<p>     <strong>Visit the Welcome Center</strong> </p> <p>     Drop by the <a href=""http://www2.cuny.edu/admissions/undergraduate/welcomecenter/""><u>CUNY Welcome Center</u></a> for help with your CUNY application and to learn more about other CUNY programs. </p> <p>     217 E. 42nd St.<br>     New York, NY 1001 </p>","<ul>     <li>ASAP is offered at <a href=""http://www1.cuny.edu/sites/asap/join-asap/#join-us"" target=""_blank""><u>9 CUNY colleges</u></a> in all five boroughs     </li>     <li>Students must complete the <a href=""http://www.fafsa.gov/""><u>FAFSA</u></a> and New York State <a href=""http://www.hesc.ny.gov/""><u>TAP</u></a> application each year, and accept any <a href=""http://www2.cuny.edu/financial-aid/federal-and-state-grants/""><u>federal and state grant aid</u></a> awarded (Pell, SEOG, TAP)     </li>     <li>An ASAP-like program, <a href=""http://www.jjay.cuny.edu/ace-john-jay""><u>ACE (Accelerate, Complete, Engage)</u></a>, provides the same benefits as ASAP and available to students at John Jay College of Criminal Justice     </li> </ul>",Program,Apply to CUNY
